Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP
expensive_lessons.txt,1,14,99,79.51,1,20.23,14,35.71,85.71,71.43,50,0,0,0,0,0,0,0,0,14.29,14.29,0,21.43,14.29,0,0,0,14.29,21.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,7.14,7.14,0,0,0,0,0,0,0,21.43,14.29,0,0,0,7.14,0,7.14,0,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,0,0,0,0,0,0,7.14,0,0,0,0,0,0,7.14,7.14,0,0,0,0,0
expensive_lessons.txt,2,19,80.4,90.88,33.61,20.23,19,21.05,84.21,73.68,47.37,15.79,10.53,0,0,0,10.53,0,5.26,10.53,5.26,0,21.05,0,5.26,10.53,0,15.79,5.26,5.26,5.26,0,5.26,0,15.79,0,15.79,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.53,0,0,0,0,0,0,10.53,0,0,0,10.53,0,0,0,0,10.53,0,0,10.53,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,5.26,5.26,5.26,0,0,5.26,0,0,0,15.79,10.53,0,0,0,0,0,0,0,15.79,5.26,10.53,0,0,0,0
expensive_lessons.txt,3,2,1,40.06,1,1,2,0,100,100,50,50,0,0,0,0,0,0,50,0,0,0,0,50,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,200,0,50,0,0,50,100
expensive_lessons.txt,4,19,12.74,90.88,1,1,19,26.32,94.74,84.21,57.89,15.79,15.79,0,0,0,15.79,0,0,5.26,0,5.26,10.53,10.53,5.26,10.53,0,21.05,21.05,10.53,0,0,0,0,5.26,0,5.26,0,0,0,0,0,5.26,0,5.26,0,5.26,5.26,0,5.26,0,0,0,0,21.05,5.26,0,0,0,0,5.26,15.79,0,0,0,15.79,0,0,0,0,0,0,0,0,0,0,15.79,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.53,0,0,0,0,0,10.53,0,21.05,0,0,0,0,0,0,0,36.84,5.26,15.79,0,0,0,15.79
expensive_lessons.txt,5,19,22.98,1,70.28,20.23,6.33,15.79,89.47,73.68,68.42,15.79,10.53,10.53,0,0,0,0,5.26,10.53,10.53,0,26.32,15.79,26.32,5.26,0,15.79,5.26,0,15.79,0,15.79,0,15.79,0,15.79,0,0,0,5.26,0,10.53,0,10.53,5.26,5.26,5.26,0,5.26,0,0,0,0,5.26,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.53,0,0,0,0,0,0,0,0,0,10.53,5.26,0,0,0,0,0,36.84,10.53,0,0,5.26,10.53,10.53
expensive_lessons.txt,6,28,93.64,97.11,1,75.77,28,10.71,96.43,78.57,57.14,10.71,10.71,0,0,0,10.71,0,0,14.29,3.57,0,25,0,0,14.29,0,17.86,0,7.14,7.14,0,7.14,0,14.29,3.57,10.71,3.57,3.57,0,0,0,0,0,10.71,7.14,3.57,0,0,0,0,0,0,0,21.43,7.14,0,0,0,3.57,0,14.29,0,0,0,10.71,7.14,0,7.14,0,7.14,0,0,3.57,3.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.71,10.71,3.57,0,7.14,3.57,0,0,3.57,7.14,0,0,0,0,0,0,0,10.71,3.57,3.57,0,0,0,3.57
expensive_lessons.txt,7,24,82.63,98.75,15.38,20.23,24,16.67,95.83,66.67,54.17,16.67,12.5,0,0,0,12.5,0,4.17,20.83,8.33,4.17,16.67,8.33,0,4.17,0,16.67,4.17,4.17,8.33,0,4.17,4.17,4.17,0,4.17,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,12.5,0,4.17,0,0,8.33,16.67,0,0,4.17,12.5,0,0,0,0,8.33,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17,8.33,0,0,8.33,0,0,0,12.5,12.5,0,0,0,0,0,0,0,12.5,4.17,8.33,0,0,0,0
expensive_lessons.txt,8,3,89.52,99,1,20.23,3,0,100,100,66.67,33.33,33.33,0,0,0,33.33,0,0,33.33,0,0,33.33,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,33.33,0,0,0,0,33.33,33.33,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,100,0,33.33,0,0,0,66.67
expensive_lessons.txt,9,2,89.52,40.06,1,20.23,2,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,50,50,0,0,0,0,0
expensive_lessons.txt,10,12,99,84.23,99,20.23,12,25,83.33,66.67,41.67,0,0,0,0,0,0,0,0,16.67,16.67,0,16.67,0,0,8.33,0,8.33,8.33,0,0,0,0,0,8.33,0,8.33,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,8.33,0,8.33,0,0,0,8.33,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,8.33,16.67,0,0,0,16.67,8.33,0,0,0,0,0,0,0,8.33,8.33,0,0,0,0,0
expensive_lessons.txt,11,26,53.56,99,1,20.23,26,26.92,84.62,69.23,61.54,23.08,19.23,0,0,0,19.23,0,3.85,15.38,3.85,3.85,19.23,7.69,0,7.69,0,15.38,0,3.85,3.85,3.85,0,0,3.85,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.77,3.85,0,0,0,0,3.85,26.92,0,3.85,11.54,7.69,3.85,0,3.85,0,3.85,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38,0,0,0,0,0,0,0,11.54,3.85,7.69,0,0,0,0
expensive_lessons.txt,12,4,99,40.06,99,99,2,25,100,50,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,25,25,0,0,0,0,0,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,100,0,25,0,25,0,50
