,sentence,word,word_length,word_freq
0,0,for,3,6.837945999
1,0,a,1,7.309359959
2,0,cultivated,10,2.79698412
3,0,man,3,6.265580656
4,0,to,2,7.355006441
5,0,be,2,6.758829216
6,0,ignorant,8,3.79698412
7,0,of,2,7.063009914
8,0,foreign,7,4.347976404
9,0,languages,9,3.614053437
10,0,is,2,6.954274634
11,0,a,1,7.309359959
12,0,great,5,5.913685238
13,0,inconvenience,13,3.647859999
14,1,vorotov,7,1.5
15,1,became,6,4.678511426
16,1,acutely,7,2.467925401
17,1,conscious,9,3.833413386
18,1,of,2,7.063009914
19,1,it,2,7.27578186
20,1,when,4,6.307780386
21,1,after,5,5.833575592
22,1,taking,6,5.380466284
23,1,his,3,6.326723177
24,1,degree,6,4.172647734
25,1,he,2,6.882339374
26,1,began,5,4.511680528
27,1,upon,4,4.79698412
28,1,a,1,7.309359959
29,1,piece,5,5.094607867
30,1,of,2,7.063009914
31,1,research,8,4.519463792
32,1,work,4,5.901428551
33,2,“it’s,5,1.5
34,2,awful”,6,1.5
35,2,he,2,6.882339374
36,2,said,4,6.044128492
37,2,breathing,9,4.443510373
38,2,hard,4,5.487761456
39,2,although,8,4.623058923
40,2,he,2,6.882339374
41,2,was,3,6.751817351
42,2,only,4,6.034323607
43,2,twenty-six,10,1.5
44,2,he,2,6.882339374
45,2,was,3,6.751817351
46,2,fat,3,4.899503579
47,2,heavy,5,4.674391464
48,2,and,3,7.126115569
49,2,suffered,8,4.109399512
50,2,from,4,6.308838249
51,2,shortness,9,2.935286819
52,2,of,2,7.063009914
53,2,breath,6,4.652048755
54,3,“it’s,5,1.5
55,3,awful,5,4.801708427
56,4,without,7,5.549224691
57,4,languages,9,3.614053437
58,4,i’m,3,1.5
59,4,like,4,6.601353593
60,4,a,1,7.309359959
61,4,bird,4,4.657134891
62,4,without,7,5.549224691
63,4,wings,5,4.293567855
64,5,i,1,1.5
65,5,might,5,5.712367465
66,5,just,4,6.676020833
67,5,as,2,6.345177693
68,5,well,4,6.475172328
69,5,give,4,6.066788831
70,5,up,2,6.564072703
71,5,the,3,7.468477762
72,5,work”,5,1.5
73,6,and,3,7.126115569
74,6,he,2,6.882339374
75,6,made,4,5.74860998
76,6,up,2,6.564072703
77,6,his,3,6.326723177
78,6,mind,4,5.684812329
79,6,at,2,6.506871261
80,6,all,3,6.71221242
81,6,costs,5,4.198169184
82,6,to,2,7.355006441
83,6,overcome,8,3.792893404
84,6,his,3,6.326723177
85,6,innate,6,2.893894133
86,6,laziness,8,2.689774151
87,6,and,3,7.126115569
88,6,to,2,7.355006441
89,6,learn,5,5.073445925
90,6,french,6,4.841082699
91,6,and,3,7.126115569
92,6,german,6,4.502687507
93,6,and,3,7.126115569
94,6,began,5,4.511680528
95,6,to,2,7.355006441
96,6,look,4,6.28883587
97,6,out,3,6.58659127
98,6,for,3,6.837945999
99,6,a,1,7.309359959
100,6,teacher,7,4.745611002
101,7,one,3,6.486861564
102,7,winter,6,4.418290256
103,7,noon,4,4.257975875
104,7,as,2,6.345177693
105,7,vorotov,7,1.5
106,7,was,3,6.751817351
107,7,sitting,7,4.974430434
108,7,in,2,6.989451386
109,7,his,3,6.326723177
110,7,study,5,4.690121448
111,7,at,2,6.506871261
112,7,work,4,5.901428551
113,7,the,3,7.468477762
114,7,servant,7,4.084225832
115,7,told,4,5.844258988
116,7,him,3,6.541548453
117,7,that,4,7.148972369
118,7,a,1,7.309359959
119,7,young,5,5.385360886
120,7,lady,4,5.336060219
121,7,was,3,6.751817351
122,7,inquiring,9,2.990804146
123,7,for,3,6.837945999
124,7,him,3,6.541548453
125,8,“ask,4,1.5
126,8,her,3,6.452086523
127,8,in”,3,1.5
128,8,said,4,6.044128492
129,8,vorotov,7,1.5
130,9,and,3,7.126115569
