,0
0,For a cultivated man to be ignorant of foreign languages is a great inconvenience.
1,"Vorotov became acutely conscious of it when, after taking his degree, he began upon a piece of research work."
2,"“It’s awful,” he said, breathing hard (although he was only twenty-six he was fat, heavy, and suffered from shortness of breath)."
3,“It’s awful!
4,Without languages I’m like a bird without wings.
5,I might just as well give up the work.”
6,"And he made up his mind at all costs to overcome his innate laziness, and to learn French and German; and began to look out for a teacher."
7,"One winter noon, as Vorotov was sitting in his study at work, the servant told him that a young lady was inquiring for him."
8,"“Ask her in,” said Vorotov."
9,And a young lady elaborately dressed in the last fashion walked in.
10,"She introduced herself as a teacher of French,Alice Osipovna Enquête, and told Vorotov that she had been sent to him by one of his friends."
11,“Delighted!
12,"Please sit down,” said Vorotov, breathing hard and putting his hand over the collar of his nightshirt (to breathe more freely he always wore a nightshirt at work instead of a stiff linen one with collar)."
13,“It was Pyotr Sergeitch sent you?
14,"Yes, yes..."
15,I asked him about it.
16,Delighted!”
17,As he talked to Mdlle.
18,Enquête he looked at her shyly and with curiosity.
19,"She was a genuine Frenchwoman, very elegant and still quite young."
20,"Judging from her pale, languid face, her short curly hair, and her unnaturally slim waist, she might have been eighteen; but looking at her broad, well-developed shoulders, the elegant lines of her back and her severe eyes, Vorotov thought that she was not less than three-and-twenty and might be twenty-five; but then again he began to think she was not more than eighteen."
21,Her face looked as cold and business-like as the face of a person who has come to speak about money.
22,"She did not once smile or frown, and only once a look of perplexity flitted over her face when she learnt that she was not required to teach children, but a stout grown-up man."
23,"“So,Alice Osipovna,” said Vorotov, “we’ll have a lesson every evening from seven to eight."
24,As regards your terms—a rouble a lesson—I’ve nothing to say against that.
25,By all means let it be a rouble. . . .”
26,"And he asked her if she would not have some tea or coffee, whether it was a fine day, and with a good-natured smile, stroking the baize of the table, he inquired in a friendly voice who she was, where she had studied, and what she lived on."
27,"With a cold, business-like expression,Alice Osipovna answered that she had completed her studies at a private school and had the diploma of a private teacher, that her father had died lately of scarlet fever, that her mother was alive and made artificial flowers; that she, Mdlle."
28,"Enquête, taught in a private school till dinnertime, and after dinner was busy till evening giving lessons in different good families."
29,She went away leaving behind her the faint fragrance of a woman’s clothes.
30,"For a long time afterwards Vorotov could not settle to work, but, sitting at the table stroking its green baize surface, he meditated."
31,"“It’s very pleasant to see a girl working to earn her own living,” he thought."
32,"“On the other hand, it’s very unpleasant to think that poverty should not spare such elegant and pretty girls asAlice Osipovna, and that she, too, should have to struggle for existence."
33,It’s a sad thing!”
34,"Having never seen virtuous Frenchwomen before, he reflected also that this elegantly dressed young lady with her well-developed shoulders and exaggeratedly small waist in all probability followed another calling as well as giving French lessons."
35,"The next evening when the clock pointed to five minutes to seven, Mdlle."
36,"Enquête appeared, rosy from the frost."
37,"She opened Margot, which she had brought with her, and without introduction began:  “French grammar has twenty-six letters."
38,"The first letter is called A, the second B...”"
39,"“Excuse me,” Vorotov interrupted, smiling."
40,"“I must warn you, mademoiselle, that you must change your method a little in my case."
41,"You see, I know Russian, Greek, and Latin well...."
42,"I’ve studied comparative philology, and I think we might omit Margot and pass straight to reading some author.”"
43,And he explained to the French girl how grown-up people learn languages.
44,"“A friend of mine,” he said, “wanting to learn modern languages, laid before him the French, German, and Latin gospels, and read them side by side, carefully analysing each word, and would you believe it, he attained his object in less than a year."
45,Let us do the same.
46,We’ll take some author and read him.”
47,The French girl looked at him in perplexity.
48,Evidently the suggestion seemed to her very naïve and ridiculous.
49,"If this strange proposal had been made to her by a child, she would certainly have been angry and have scolded it, but as he was a grown-up man and very stout and she could not scold him, she only shrugged her shoulders hardly perceptibly and said:  “As you please.”"
50,Vorotov rummaged in his bookcase and picked out a dog’s-eared French book.
51,“Will this do?”
52,"“It’s all the same,” she said."
53,"“In that case let us begin, and good luck to it!"
54,Let’s begin with the title...‘Mémoires.’”
55,"“Reminiscences,” Mdlle."
56,Enquête translated.
57,"With a good-natured smile, breathing hard, he spent a quarter of an hour over the word “Mémoires,” and as much over the word de, and this wearied the young lady."
58,"She answered his questions languidly, grew confused, and evidently did not understand her pupil well, and did not attempt to understand him."
59,"Vorotov asked her questions, and at the same time kept looking at her fair hair and thinking:  “Her hair isn’t naturally curly; she curls it."
60,It’s a strange thing!
61,"She works from morning to night, and yet she has time to curl her hair.”"
62,"At eight o’clock precisely she got up, and saying coldly and dryly, “Au revoir, monsieur,” walked out of the study, leaving behind her the same tender, delicate, disturbing fragrance."
63,For a long time again her pupil did nothing; he sat at the table meditating.
64,"During the days that followed he became convinced that his teacher was a charming, conscientious, and precise young lady, but that she was very badly educated, and incapable of teaching grown-up people, and he made up his mind not to waste his time, to get rid of her, and to engage another teacher."
65,"When she came the seventh time he took out of his pocket an envelope with seven roubles in it, and holding it in his hand, became very confused and began:  “Excuse me,Alice Osipovna, but I ought to tell you...I’m under painful necessity...”"
66,"Seeing the envelope, the French girl guessed what was meant, and for the first time during their lessons her face quivered and her cold, business-like expression vanished."
67,"She coloured a little, and dropping her eyes, began nervously fingering her slender gold chain."
