,Unnamed: 0.1,category,proportion,RECORDING_SESSION_LABEL,IA_DWELL_TIME,IA_REGRESSION_PATH_DURATION,IA_AVERAGE_FIX_PUPIL_SIZE,IA_REGRESSION_IN_COUNT,IA_REGRESSION_OUT_FULL_COUNT,word,story,anger,disgust,fear,joy,neutral,sadness,surprise,negative,neutral.1,positive,word_length,concreteness,valence_avg,valence_max,valence_min,arousal_avg,arousal_max,arousal_min,word_freq,Unnamed: 0,0,IA_DWELL_TIME_SMOOTHED,IA_REGRESSION_PATH_DURATION_SMOOTHED,IA_AVERAGE_FIX_PUPIL_SIZE_SMOOTHED,IA_REGRESSION_IN_COUNT_SMOOTHED,IA_REGRESSION_OUT_FULL_COUNT_SMOOTHED,engagement_score,tally
16,16.0,0,0.0,11,0.0,0.0,empty,0.0,0.0,1.0,EL,0.0065799173898994,0.0029147600289434,0.0275458898395299,0.8321048617362976,0.0763309448957443,0.0030491137877106,0.0514744818210601,0.0020576973911374,0.0375015102326869,0.9604409337043762,9.0,2.86,0.938,0.938,0.938,0.664,0.664,0.664,4.112035602,16,Delighted!”,226.763358778626,235.57251908396947,12.955673870020036,0.183206106870229,0.2137404580152671,0.57,1
51,51.0,0,0.0,11,0.0,0.0,empty,0.0,0.0,3.0,EL,0.1937517076730728,0.0343227349221706,0.4599817991256714,0.0031221269164234,0.1772888898849487,0.0361479930579662,0.095384657382965,0.0859308317303657,0.8496597409248352,0.0644094347953796,3.333333333333333,2.4133333333333336,0.6839999999999999,0.698,0.67,0.478,0.548,0.408,20.01509149,51,“Will this do?”,481.9473684210526,677.5526315789473,46.48209699876932,0.3157894736842105,0.3421052631578947,0.57,1
56,56.0,0,0.0,11,0.0,0.0,empty,0.0,0.0,1.0,EL,0.0061641889624297,0.0641519501805305,0.0065138735808432,0.0083057163283228,0.8792434930801392,0.0120131121948361,0.0236076824367046,0.0896590948104858,0.8102768659591675,0.1000641956925392,8.0,2.69,0.604,0.604,0.604,0.423,0.423,0.423,5.1845310950000005,56,Enquête translated.,232.7102803738318,489.6261682242992,17.116635708722743,0.3271028037383178,0.2990654205607477,0.57,1
100,100.0,0,0.0,11,0.0,0.0,empty,0.0,0.0,1.0,EL,0.0432799272239208,0.1205886378884315,0.0379757210612297,0.029714610427618,0.6017542481422424,0.102769061923027,0.0639178082346916,0.2144877910614013,0.6091043949127197,0.1764077544212341,5.0,,,,,,,,1.5,100,Mdlle.,139.45769230769233,176.71923076923076,6.718849442738332,0.0769230769230769,0.0807692307692307,0.57,1
105,105.0,0,0.0,11,0.0,0.0,empty,0.0,0.0,1.0,EL,0.0301747377961874,0.0245549231767654,0.0253932457417249,0.049841683357954,0.7002174258232117,0.0793177485466003,0.0905002728104591,0.188352420926094,0.7305243015289307,0.0811232328414917,1.0,3.93,,,,,,,1.5,105,I...,137.71568627450984,153.14705882352942,7.6161837504362015,0.0784313725490196,0.0784313725490196,0.57,1
76,76.0,0,0.0,10,0.0,0.0,empty,0.0,0.0,1.0,SM,0.0123939365148544,0.0029780981130898,0.0022192238830029,0.7237355709075928,0.2001786530017852,0.0052775675430893,0.0532168969511985,0.0192089024931192,0.4288829267024994,0.5519081950187683,3.0,1.595,0.938,0.938,0.938,0.368,0.368,0.368,12.542738886,76,"""Good-by!",215.5205479452055,360.1826484018265,9.22308174102889,0.0958904109589041,0.1050228310502283,2.14,1
120,120.0,0,0.0,10,0.0,0.0,empty,0.0,0.0,1.0,SM,0.0152210276573896,0.0040622507221996,0.0032518091611564,0.6823633313179016,0.2276011109352111,0.0107173062860965,0.0567831546068191,0.0029799425974488,0.1213275492191314,0.8756924867630005,5.5,2.54,0.813,0.938,0.688,0.3015,0.368,0.235,12.057959162,120,"Good-morning!""",242.675,330.925,25.272610483652148,0.125,0.1625,2.14,1
11,11.0,0,0.0,id27,0.0,0.0,empty,0.0,0.0,1.0,EL,0.0070505728945136,0.0022600279189646,0.024726441130042,0.8142812252044678,0.0802353098988533,0.0034330103080719,0.068013347685337,0.0024085706099867,0.0479586571455001,0.9496328830718994,9.0,,0.938,0.938,0.938,0.664,0.664,0.664,4.112035602,11,“Delighted!,135.0503597122302,198.83453237410072,14.784543939939622,0.1942446043165467,0.2158273381294964,1.29,1
16,16.0,0,0.0,id27,0.0,0.0,empty,0.0,0.0,1.0,EL,0.0065799173898994,0.0029147600289434,0.0275458898395299,0.8321048617362976,0.0763309448957443,0.0030491137877106,0.0514744818210601,0.0020576973911374,0.0375015102326869,0.9604409337043762,9.0,2.86,0.938,0.938,0.938,0.664,0.664,0.664,4.112035602,16,Delighted!”,138.7109375,200.8359375,13.2359623500279,0.2421875,0.2109375,1.29,1
56,56.0,0,0.0,id27,0.0,0.0,empty,0.0,0.0,1.0,EL,0.0061641889624297,0.0641519501805305,0.0065138735808432,0.0083057163283228,0.8792434930801392,0.0120131121948361,0.0236076824367046,0.0896590948104858,0.8102768659591675,0.1000641956925392,8.0,2.69,0.604,0.604,0.604,0.423,0.423,0.423,5.1845310950000005,56,Enquête translated.,162.5631067961165,212.5048543689321,19.64107760452421,0.3009708737864077,0.3106796116504854,1.29,1
105,105.0,0,0.0,id27,0.0,0.0,empty,0.0,0.0,1.0,EL,0.0301747377961874,0.0245549231767654,0.0253932457417249,0.049841683357954,0.7002174258232117,0.0793177485466003,0.0905002728104591,0.188352420926094,0.7305243015289307,0.0811232328414917,1.0,3.93,,,,,,,1.5,105,I...,85.40886699507388,111.70443349753693,10.559181588344147,0.1231527093596059,0.1280788177339901,1.29,1
35,35.0,0,0.0,20,0.0,0.0,empty,0.0,0.0,2.0,SM,0.1113387271761894,0.5663744211196899,0.0294830184429883,0.0027331348974257,0.0389294885098934,0.0586448237299919,0.1924963295459747,0.8565725684165955,0.1288889199495315,0.0145383868366479,5.666666666666667,1.62,0.719,0.719,0.719,0.353,0.353,0.353,14.585944698,35,How unbusiness-like!,233.47892720306515,299.01149425287355,14.749024379258968,0.1379310344827586,0.1379310344827586,1.86,1
76,76.0,0,0.0,20,0.0,0.0,empty,0.0,0.0,1.0,SM,0.0123939365148544,0.0029780981130898,0.0022192238830029,0.7237355709075928,0.2001786530017852,0.0052775675430893,0.0532168969511985,0.0192089024931192,0.4288829267024994,0.5519081950187683,3.0,1.595,0.938,0.938,0.938,0.368,0.368,0.368,12.542738886,76,"""Good-by!",118.80373831775702,152.66355140186917,9.429988570482912,0.0934579439252336,0.1074766355140186,1.86,1
