RECORDING_SESSION_LABEL,story,engagement_score,highlight_weight,word
id10,EL,2.57,229.50215831143657,2316.0
id10,SM,2.14,961.9614457742069,3396.0
id11,EL,0.57,154.79285264421515,2303.0
id11,SM,1.0,774.447613593589,3366.0
id12,EL,3.57,627.0519694991773,2290.0
id12,SM,2.14,372.284569280902,3354.0
id13,EL,1.71,668.7077204167849,2283.0
id13,SM,3.0,1075.819937962997,3347.0
id14,EL,3.29,1446.7417975920293,2300.0
id14,SM,1.86,2986.350486817764,3330.0
id15,EL,1.71,509.89971886799236,2296.0
id15,SM,1.71,519.100562564436,3347.0
id17,EL,1.57,264.9821471993228,2347.0
id17,SM,2.71,945.6995259996457,3260.0
id18,EL,1.29,7.363636363636363,2290.0
id18,SM,1.5700000000000003,55.43874424872358,3329.0
id19,EL,1.14,676.6425698205927,2288.0
id19,SM,0.14,1119.809426717397,3428.0
id2,EL,2.86,1299.3862178547893,2347.0
id2,SM,2.0,2233.5939783061,3358.0
id20,EL,1.86,899.0846933337012,2311.0
id20,SM,1.86,823.0068909940771,3386.0
id21,EL,1.71,816.3484557405625,2258.0
id21,SM,0.42999999999999994,1166.8756960016715,3428.0
id22,EL,1.0,533.1242704528539,2304.0
id22,SM,2.71,498.2284063057285,3379.0
id23,EL,2.86,1797.732053840026,2302.0
id23,SM,3.0,1876.9188800864083,3385.0
id24,EL,3.14,1125.1965530297527,2270.0
id24,SM,2.8599999999999994,1844.0326775691774,3331.0
id25,EL,1.14,98.82454680750018,2309.0
id25,SM,1.4299999999999997,181.1478729702852,3383.0
id27,EL,1.29,588.5296820448326,2268.0
id27,SM,-0.14,617.7440389118956,3428.0
id28,EL,2.29,145.1605586549475,2347.0
id28,SM,2.43,844.4389536032973,3354.0
id3,EL,2.29,966.3304775678278,2347.0
id3,SM,2.8599999999999994,1684.5819257920023,3371.0
id30,EL,3.14,734.0747985758211,2318.0
id30,SM,2.57,1002.4243594240138,3356.0
id5,EL,2.86,348.11059470825893,2347.0
id5,SM,0.8599999999999999,1309.2008380838924,3348.0
id7,EL,1.14,40.66459840924914,2316.0
id7,SM,2.71,1190.4379869067911,3391.0
id8,EL,3.14,496.8900088189699,2305.0
id8,SM,2.71,1184.6755813875507,3338.0
