,category,proportion
0,0,0.0
1,1,1.0
2,1,1.0
3,1,0.9971590909090909
4,0,0.0
5,0,0.0
6,0,0.0
7,3,1.0
8,3,1.0
9,3,1.0
10,3,1.0
11,3,0.9946808510638298
12,3,0.352112676056338
13,3,1.0
14,3,0.9873417721518988
15,0,0.0
16,0,0.0
17,2,1.0
18,2,0.9928057553956835
19,1,1.0
20,1,0.9807692307692307
21,0,0.0
22,0,0.0
23,1,1.0
24,1,1.0
25,1,1.0
26,1,1.0
27,1,1.0
28,2,0.99581589958159
29,3,0.9814814814814815
30,1,1.0
31,1,1.0
32,1,0.994413407821229
33,0,0.0
34,3,1.0
35,3,1.0
36,3,0.9880239520958084
37,0,0.0
38,2,0.7432432432432432
39,0,0.0
40,1,1.0
41,1,1.0
42,1,0.9931972789115646
43,5,1.0
44,5,0.9642857142857143
45,3,1.0
46,3,1.0
47,3,1.0
48,3,1.0
49,3,0.9930313588850174
50,2,1.0
51,2,1.0
52,2,0.9714285714285714
53,0,0.0
54,0,0.0
55,1,1.0
56,1,1.0
57,1,1.0
58,1,1.0
59,1,1.0
60,1,0.9166666666666666
61,0,0.0
62,0,0.0
63,0,0.0
64,0,0.0
65,0,0.0
66,2,1.0
67,2,0.967741935483871
68,0,0.0
69,2,1.0
70,3,0.5352697095435685
71,3,1.0
72,3,1.0
73,3,0.9942196531791907
74,0,0.0
75,0,0.0
76,0,0.0
77,0,0.0
78,0,0.0
79,2,0.09090909090909091
80,2,1.0
81,2,0.015384615384615385
82,1,0.9871794871794872
83,1,1.0
84,1,1.0
85,1,1.0
86,1,1.0
87,1,1.0
88,1,1.0
89,1,1.0
90,0,0.0
91,1,0.96875
92,3,0.2828282828282828
93,0,0.0
94,2,0.9965034965034965
95,0,0.0
96,1,0.996875
97,1,1.0
98,1,0.9714285714285714
99,1,1.0
100,1,1.0
101,1,1.0
102,1,1.0
103,1,1.0
104,0,0.0
105,0,0.0
106,0,0.0
107,0,0.0
108,0,0.0
109,0,0.0
110,0,0.0
111,3,0.9487179487179487
112,3,1.0
113,3,1.0
114,0,0.0
115,0,0.0
116,2,0.9375
117,0,0.0
118,0,0.0
119,0,0.0
120,0,0.0
121,0,0.0
122,0,0.0
123,0,0.0
124,0,0.0
125,0,0.0
126,0,0.0
127,1,0.9864864864864865
128,1,1.0
129,1,0.9935483870967742
130,2,0.9824561403508771
131,2,1.0
132,0,0.0
133,1,0.9285714285714286
134,1,1.0
135,2,0.9912280701754386
136,2,1.0
137,3,0.9230769230769231
138,3,0.9850746268656716
139,0,0.0
140,0,0.0
141,0,0.0
142,0,0.0
143,0,0.0
144,3,0.9846153846153847
145,3,1.0
146,3,1.0
147,3,1.0
148,1,0.9565217391304348
149,1,1.0
150,1,1.0
151,0,0.0
152,0,0.0
153,0,0.0
154,0,0.0
155,0,0.0
156,0,0.0
157,0,0.0
158,1,0.990909090909091
159,1,1.0
160,2,0.875
161,2,1.0
162,2,1.0
163,2,1.0
164,2,1.0
165,2,1.0
166,0,0.0
167,0,0.0
168,0,0.0
169,1,0.8888888888888888
170,1,1.0
171,1,1.0
172,1,0.9941176470588236
173,0,0.0
174,0,0.0
175,0,0.0
176,0,0.0
177,0,0.0
178,0,0.0
179,1,0.021739130434782608
180,1,0.9163636363636364
181,1,0.030303030303030304
182,1,1.0
183,1,1.0
184,1,1.0
185,1,0.9924242424242424
186,0,0.0
187,3,0.007692307692307693
188,3,1.0
189,3,1.0
190,3,1.0
191,3,1.0
192,3,0.92
193,3,1.0
194,3,1.0
195,3,0.8545454545454545
196,3,1.0
197,3,1.0
198,3,1.0
199,3,1.0
200,3,0.96875
201,2,0.9565217391304348
202,2,1.0
