,category,proportion,percent_highlighted
0,5,0.9787234042553191,0.9787234042553191
1,1,0.42276422764227645,0.42276422764227645
2,1,0.5833333333333334,0.5833333333333334
3,2,0.5681818181818182,0.8125
4,4,0.8547945205479452,0.8547945205479452
5,4,1.0,1.0
6,4,0.9943502824858758,0.9943502824858758
7,4,0.9915254237288136,0.9915254237288136
8,0,1.0,0.0
9,0,1.0,0.0
10,0,1.0,0.0
11,1,0.9946808510638298,0.9946808510638298
12,0,1.0,0.0
13,0,1.0,0.0
14,2,0.9367088607594937,0.9367088607594937
15,0,1.0,0.0
16,0,1.0,0.0
17,0,1.0,0.0
18,0,1.0,0.0
19,0,1.0,0.0
20,0,1.0,0.0
21,0,1.0,0.0
22,0,1.0,0.0
23,0,1.0,0.0
24,1,0.99,0.99
25,0,1.0,0.0
26,2,0.8130841121495327,0.8130841121495327
27,0,1.0,0.0
28,0,1.0,0.0
29,0,1.0,0.0
30,1,1.0,1.0
31,1,1.0,1.0
32,1,0.994413407821229,0.994413407821229
33,0,1.0,0.0
34,0,1.0,0.0
35,0,1.0,0.0
36,0,1.0,0.0
37,0,1.0,0.0
38,0,1.0,0.0
39,0,1.0,0.0
40,0,1.0,0.0
41,0,1.0,0.0
42,1,0.9931972789115646,0.9931972789115646
43,0,1.0,0.0
44,0,1.0,0.0
45,4,0.011235955056179775,0.011235955056179775
46,4,0.9926470588235294,0.9926470588235294
47,0,1.0,0.0
48,0,1.0,0.0
49,0,1.0,0.0
50,0,1.0,0.0
51,0,1.0,0.0
52,0,1.0,0.0
53,0,1.0,0.0
54,0,1.0,0.0
55,0,1.0,0.0
56,0,1.0,0.0
57,0,1.0,0.0
58,0,1.0,0.0
59,0,1.0,0.0
60,0,1.0,0.0
61,0,1.0,0.0
62,0,1.0,0.0
63,0,1.0,0.0
64,5,0.6756756756756757,0.6756756756756757
65,0,1.0,0.0
66,4,0.9696969696969697,0.9696969696969697
67,4,0.9354838709677419,0.9354838709677419
68,2,0.6205128205128205,0.6205128205128205
69,0,1.0,0.0
70,0,1.0,0.0
71,0,1.0,0.0
72,5,0.992,0.992
73,5,0.3930635838150289,0.3930635838150289
74,0,1.0,0.0
75,0,1.0,0.0
76,0,1.0,0.0
77,0,1.0,0.0
78,0,1.0,0.0
79,0,1.0,0.0
80,0,1.0,0.0
81,0,1.0,0.0
82,0,1.0,0.0
83,0,1.0,0.0
84,0,1.0,0.0
85,4,0.9918032786885246,0.9918032786885246
86,0,1.0,0.0
87,0,1.0,0.0
88,4,0.9931972789115646,0.9931972789115646
89,0,1.0,0.0
90,0,1.0,0.0
91,0,1.0,0.0
92,0,1.0,0.0
93,0,1.0,0.0
94,0,1.0,0.0
95,4,0.4944237918215613,0.4944237918215613
96,0,1.0,0.0
97,0,1.0,0.0
98,0,1.0,0.0
99,1,0.9932885906040269,0.9932885906040269
100,1,1.0,1.0
101,1,1.0,1.0
102,1,1.0,1.0
103,0,1.0,0.0
104,0,1.0,0.0
105,0,1.0,0.0
106,0,1.0,0.0
107,0,1.0,0.0
108,0,1.0,0.0
109,0,1.0,0.0
110,0,1.0,0.0
111,0,1.0,0.0
112,0,1.0,0.0
113,0,1.0,0.0
114,0,1.0,0.0
115,0,1.0,0.0
116,2,0.8125,0.8125
117,0,1.0,0.0
118,0,1.0,0.0
119,0,1.0,0.0
120,0,1.0,0.0
121,0,1.0,0.0
122,0,1.0,0.0
123,0,1.0,0.0
124,0,1.0,0.0
125,0,1.0,0.0
126,0,1.0,0.0
127,0,1.0,0.0
128,0,1.0,0.0
129,0,1.0,0.0
130,0,1.0,0.0
131,0,1.0,0.0
132,0,1.0,0.0
133,0,1.0,0.0
134,0,1.0,0.0
135,0,1.0,0.0
136,0,1.0,0.0
137,0,1.0,0.0
138,0,1.0,0.0
139,0,1.0,0.0
140,0,1.0,0.0
141,0,1.0,0.0
142,0,1.0,0.0
143,0,1.0,0.0
144,0,1.0,0.0
145,0,1.0,0.0
146,0,1.0,0.0
147,0,1.0,0.0
148,1,0.9565217391304348,0.9565217391304348
149,1,0.6991150442477876,0.6991150442477876
150,0,1.0,0.0
151,0,1.0,0.0
152,0,1.0,0.0
153,0,1.0,0.0
154,0,1.0,0.0
155,0,1.0,0.0
156,0,1.0,0.0
157,0,1.0,0.0
158,0,1.0,0.0
159,0,1.0,0.0
160,0,1.0,0.0
161,0,1.0,0.0
162,0,1.0,0.0
163,0,1.0,0.0
164,0,1.0,0.0
165,0,1.0,0.0
166,0,1.0,0.0
167,1,0.9841269841269841,0.9841269841269841
168,1,1.0,1.0
169,0,1.0,0.0
170,0,1.0,0.0
171,0,1.0,0.0
172,0,1.0,0.0
173,0,1.0,0.0
174,0,1.0,0.0
175,0,1.0,0.0
176,0,1.0,0.0
177,0,1.0,0.0
178,0,1.0,0.0
179,2,0.8913043478260869,0.8913043478260869
180,0,1.0,0.0
181,0,1.0,0.0
182,0,1.0,0.0
183,1,0.02564102564102564,0.02564102564102564
184,1,1.0,1.0
185,1,0.7462121212121212,0.7462121212121212
186,0,1.0,0.0
187,0,1.0,0.0
188,0,1.0,0.0
189,0,1.0,0.0
190,1,0.011904761904761904,0.011904761904761904
191,1,1.0,1.0
192,1,0.35333333333333333,0.35333333333333333
193,0,1.0,0.0
194,5,0.7388535031847133,0.7388535031847133
195,0,1.0,0.0
196,0,1.0,0.0
197,0,1.0,0.0
198,0,1.0,0.0
199,2,1.0,1.0
200,2,0.96875,0.96875
201,3,1.0,1.0
202,3,1.0,1.0
