,category,proportion
0,0,0.0
1,0,0.0
2,0,0.0
3,0,0.0
4,0,0.0
5,0,0.0
6,0,0.0
7,4,1.0
8,4,1.0
9,4,1.0
10,4,1.0
11,4,0.9946808510638298
12,0,0.0
13,0,0.0
14,0,0.0
15,0,0.0
16,0,0.0
17,0,0.0
18,0,0.0
19,0,0.0
20,0,0.0
21,0,0.0
22,0,0.0
23,0,0.0
24,3,0.99
25,3,1.0
26,3,0.9813084112149533
27,0,0.0
28,0,0.0
29,0,0.0
30,1,1.0
31,1,1.0
32,1,1.0
33,0,0.0
34,0,0.0
35,0,0.0
36,3,1.0
37,3,0.994475138121547
38,0,0.0
39,0,0.0
40,1,1.0
41,1,1.0
42,1,0.9931972789115646
43,0,0.0
44,0,0.0
45,0,0.0
46,3,0.9926470588235294
47,0,0.0
48,0,0.0
49,3,0.2613240418118467
50,0,0.0
51,2,0.006369426751592357
52,2,0.9714285714285714
53,0,0.0
54,0,0.0
55,0,0.0
56,0,0.0
57,0,0.0
58,1,1.0
59,0,0.0
60,0,0.0
61,0,0.0
62,0,0.0
63,0,0.0
64,0,0.0
65,0,0.0
66,4,1.0
67,4,0.967741935483871
68,3,0.6307692307692307
69,0,0.0
70,3,0.4066390041493776
71,0,0.0
72,4,0.348
73,4,0.9884393063583815
74,4,0.6994219653179191
75,0,0.0
76,0,0.0
77,0,0.0
78,0,0.0
79,4,0.8888888888888888
80,1,0.19111111111111112
81,1,1.0
82,0,0.0
83,0,0.0
84,0,0.0
85,0,0.0
86,0,0.0
87,0,0.0
88,4,0.9931972789115646
89,4,1.0
90,0,0.0
91,0,0.0
92,3,0.4276094276094276
93,0,0.0
94,0,0.0
95,0,0.0
96,2,0.996875
97,2,1.0
98,0,0.0
99,0,0.0
100,1,0.9913793103448276
101,1,0.9864864864864865
102,1,0.009523809523809525
103,1,0.9897959183673469
104,0,0.0
105,0,0.0
106,0,0.0
107,0,0.0
108,0,0.0
109,0,0.0
110,0,0.0
111,0,0.0
112,0,0.0
113,0,0.0
114,0,0.0
115,0,0.0
116,0,0.0
117,0,0.0
118,0,0.0
119,0,0.0
120,0,0.0
121,0,0.0
122,0,0.0
123,3,0.9940476190476191
124,0,0.0
125,0,0.0
126,0,0.0
127,0,0.0
128,0,0.0
129,0,0.0
130,0,0.0
131,0,0.0
132,0,0.0
133,0,0.0
134,0,0.0
135,0,0.0
136,0,0.0
137,0,0.0
138,0,0.0
139,0,0.0
140,0,0.0
141,0,0.0
142,0,0.0
143,0,0.0
144,0,0.0
145,3,0.9411764705882353
146,3,0.4567901234567901
147,0,0.0
148,2,0.9565217391304348
149,2,1.0
150,2,0.011494252873563218
151,0,0.0
152,0,0.0
153,0,0.0
154,0,0.0
155,0,0.0
156,0,0.0
157,0,0.0
158,0,0.0
159,0,0.0
160,0,0.0
161,0,0.0
162,0,0.0
163,0,0.0
164,0,0.0
165,0,0.0
166,0,0.0
167,0,0.0
168,0,0.0
169,1,0.8888888888888888
170,1,1.0
171,1,0.1111111111111111
172,0,0.0
173,0,0.0
174,0,0.0
175,0,0.0
176,0,0.0
177,0,0.0
178,0,0.0
179,0,0.0
180,0,0.0
181,0,0.0
182,0,0.0
183,0,0.0
184,0,0.0
185,1,0.8787878787878788
186,0,0.0
187,1,0.3769230769230769
188,1,1.0
189,1,1.0
190,1,0.9642857142857143
191,1,0.9168704156479217
192,4,0.006666666666666667
193,4,0.9772727272727273
194,3,0.7707006369426752
195,4,0.8545454545454545
196,0,0.0
197,0,0.0
198,0,0.0
199,0,0.0
200,0,0.0
201,0,0.0
202,0,0.0
