,category,proportion,RECORDING_SESSION_LABEL,IA_DWELL_TIME,IA_REGRESSION_PATH_DURATION,IA_AVERAGE_FIX_PUPIL_SIZE,IA_REGRESSION_IN_COUNT,IA_REGRESSION_OUT_FULL_COUNT,word,story,anger,disgust,fear,joy,neutral,sadness,surprise,negative,neutral,positive,word_length,concreteness,valence_avg,valence_max,valence_min,arousal_avg,arousal_max,arousal_min,Unnamed: 0,0,IA_DWELL_TIME_SMOOTHED,IA_REGRESSION_PATH_DURATION_SMOOTHED,IA_AVERAGE_FIX_PUPIL_SIZE_SMOOTHED,IA_REGRESSION_IN_COUNT_SMOOTHED,IA_REGRESSION_OUT_FULL_COUNT_SMOOTHED,engagement_score
0.0,0,0.0,23,3560.0,4372.0,160.40571428571428,4.0,2.0,8,SM,0.014910856261849403,0.018824653699994087,0.04428490623831749,0.004741554614156485,0.7836342453956604,0.011914475820958614,0.1216893196105957,0.1035889908671379,0.841585636138916,0.0548252984881401,3.6,2.834,0.5412,0.625,0.49,0.3766,0.689,0.199,0,AT half-past eight they drove out of the town.,3560.0,4372.0,160.40571428571428,4.0,2.0,3.0
1.0,1,1.0,23,6342.0,14322.0,129.46058823529413,7.0,7.0,22,SM,0.012825055047869682,0.07119015604257584,0.01542443223297596,0.5046417713165283,0.23794938623905182,0.15302956104278564,0.004939606878906488,0.0549687705934047,0.457871675491333,0.4871594905853271,4.0,2.718260869565217,0.6053636363636363,0.917,0.13,0.3561818181818182,0.725,0.169,1,"The highroad was dry, a lovely April sun was shining warmly, but the snow was still lying in the ditches and in the woods.",6342.0,14322.0,129.46058823529413,7.0,7.0,3.0
2.0,1,1.0,23,5980.0,16366.0,128.73692307692306,6.0,8.0,15,SM,0.6936886310577393,0.03129483014345169,0.07572940737009048,0.003134916303679347,0.04337378218770027,0.11717294156551361,0.03560548275709152,0.413356214761734,0.494991272687912,0.0916524678468704,4.2,2.490666666666667,0.5241111111111112,0.837,0.073,0.416,0.71,0.24,2,"Winter, dark, long, and spiteful, was hardly over; spring had come all of a sudden.",5980.0,16366.0,128.73692307692306,6.0,8.0,3.0
3.0,1,0.7471590909090909,23,13900.0,15442.0,128.5212765957447,13.0,14.0,60,SM,0.0018574005225673318,0.004144122824072838,0.003712872974574566,0.8981362581253052,0.016665959730744362,0.07381708174943924,0.0016663038404658437,0.1215592324733734,0.4996900260448456,0.3787507116794586,4.766666666666667,2.5984210526315787,0.66125,0.958,0.281,0.37785714285714284,0.775,0.182,3,"But neither the warmth nor the languid transparent woods, warmed by the breath of spring, nor the black flocks of birds flying over the huge puddles that were like lakes, nor the marvelous fathomless sky, into which it seemed one would have gone away so joyfully, presented anything new or interesting to Marya Vassilyevna who was sitting in the cart.",13900.0,15442.0,128.5212765957447,13.0,14.0,3.0
4.0,4,0.2575342465753424,23,12290.0,14836.0,125.39622222222222,9.0,8.0,69,SM,0.03665122389793396,0.00523210596293211,0.05153210088610649,0.020386533811688423,0.7765630483627319,0.05769680067896843,0.051938194781541824,0.0659265518188476,0.7579628825187683,0.1761105507612228,4.028169014084507,2.361830985915493,0.6291428571428571,0.91,0.198,0.3553571428571428,0.85,0.185,4,"For thirteen years she had been schoolmistress, and there was no reckoning how many times during all those years she had been to the town for her salary; and whether it were spring as now, or a rainy autumn evening, or winter, it was all the same to her, and she always—invariably—longed for one thing only, to get to the end of her journey as quickly as could be.",12290.0,14836.0,125.39622222222222,9.0,8.0,3.0
5.0,4,1.0,23,8590.0,10192.0,123.3,11.0,9.0,42,SM,0.00914971437305212,0.03747202828526497,0.04900514334440231,0.005565299186855555,0.8566029071807861,0.009754019789397717,0.032450783997774124,0.067658931016922,0.6997213363647461,0.2326197624206543,3.7209302325581395,2.5853488372093025,0.6371764705882353,0.88,0.216,0.3395294117647059,0.673,0.118,5,"She felt as though she had been living in that part of the country for ages and ages, for a hundred years, and it seemed to her that she knew every stone, every tree on the road from the town to her school.",8590.0,10192.0,123.3,11.0,9.0,3.0
6.0,4,0.9943502824858758,23,7756.0,17016.0,112.8532,8.0,9.0,34,SM,0.0314948670566082,0.03940162435173988,0.1305619478225708,0.0069300830364227295,0.6308884024620056,0.07475553452968597,0.0859675258398056,0.0696423128247261,0.6585606932640076,0.2717970311641693,3.9705882352941178,2.475,0.6541538461538461,0.888,0.438,0.3729230769230769,0.644,0.23,6,"Her past was here, her present was here, and she could imagine no other future than the school, the road to the town and back again, and again the school and again the road....",7756.0,17016.0,112.8532,8.0,9.0,3.0
7.0,4,1.0,23,7142.0,11226.0,109.06666666666666,6.0,5.0,21,SM,0.013557473197579384,0.08199776709079742,0.005803059320896864,0.0019347330089658499,0.8437235951423645,0.01349119283258915,0.03949219360947609,0.2580460011959076,0.6681110858917236,0.0738429278135299,4.2727272727272725,2.237727272727273,0.63025,0.757,0.312,0.411625,0.594,0.226,7,"She had got out of the habit of thinking of her past before she became a schoolmistress, and had almost forgotten it.",7142.0,11226.0,109.06666666666666,6.0,5.0,3.0
8.0,4,1.0,23,7038.0,9960.0,117.25,7.0,7.0,40,SM,0.01048093382269144,0.031435608863830566,0.8241940140724182,0.0021685634274035692,0.07576483488082886,0.02049022912979126,0.03546572104096413,0.2214777469635009,0.6858983635902405,0.0926239416003227,3.7,2.535135135135135,0.6835,0.931,0.271,0.37916666666666665,0.673,0.157,8,"She had once had a father and mother; they had lived in Moscow in a big flat near the Red Gate, but of all that life there was left in her memory only something vague and fluid like a dream.",7038.0,9960.0,117.25,7.0,7.0,3.0
9.0,4,1.0,23,2560.0,3576.0,115.44444444444444,4.0,3.0,17,SM,0.0016088896663859487,0.0028324206359684467,0.004182263743132353,0.0013374107657000422,0.015835747122764587,0.9615140557289124,0.012689327821135521,0.7305388450622559,0.2609089910984039,0.0085522131994366,3.823529411764706,2.777647058823529,0.5658888888888889,0.931,0.031,0.42588888888888893,0.765,0.24,9,"Her father had died when she was ten years old, and her mother had died soon after....",2560.0,3576.0,115.44444444444444,4.0,3.0,3.0
