,sentence,word,word_length,word_freq
0,0,at,2,6.506871261
1,0,half-past,9,1.5
2,0,eight,5,4.991758545
3,0,they,4,6.612501684
4,0,drove,5,4.460036889
5,0,out,3,6.58659127
6,0,of,2,7.063009914
7,0,the,3,7.468477762
8,0,town,4,5.393752976
9,1,the,3,7.468477762
10,1,highroad,8,1.592864138
11,1,was,3,6.751817351
12,1,dry,3,4.631285583
13,1,a,1,7.309359959
14,1,lovely,6,4.977933914
15,1,april,5,4.314674753
16,1,sun,3,4.842551566
17,1,was,3,6.751817351
18,1,shining,7,3.992537859
19,1,warmly,6,2.689774151
20,1,but,3,6.644579913
21,1,the,3,7.468477762
22,1,snow,4,4.495954125
23,1,was,3,6.751817351
24,1,still,5,5.896340991
25,1,lying,5,4.94243304
26,1,in,2,6.989451386
27,1,the,3,7.468477762
28,1,ditches,7,2.915083433
29,1,and,3,7.126115569
30,1,in,2,6.989451386
31,1,the,3,7.468477762
32,1,woods,5,4.462975293
33,2,winter,6,4.418290256
34,2,dark,4,4.946972577
35,2,long,4,5.828821617
36,2,and,3,7.126115569
37,2,spiteful,8,2.882898749
38,2,was,3,6.751817351
39,2,hardly,6,4.709139725
40,2,over,4,6.121067135
41,2,spring,6,4.495410917
42,2,had,3,6.22366309
43,2,come,4,6.496472255
44,2,all,3,6.71221242
45,2,of,2,7.063009914
46,2,a,1,7.309359959
47,2,sudden,6,4.524322008
48,3,but,3,6.644579913
49,3,neither,7,4.829904929
50,3,the,3,7.468477762
51,3,warmth,6,3.649768989
52,3,nor,3,4.555706819
53,3,the,3,7.468477762
54,3,languid,7,2.333226827
55,3,transparent,11,3.260317091
56,3,woods,5,4.462975293
57,3,warmed,6,3.344912586
58,3,by,2,6.12666796
59,3,the,3,7.468477762
60,3,breath,6,4.652048755
61,3,of,2,7.063009914
62,3,spring,6,4.495410917
63,3,nor,3,4.555706819
64,3,the,3,7.468477762
65,3,black,5,5.224612212
66,3,flocks,6,2.570587743
67,3,of,2,7.063009914
68,3,birds,5,4.41273696
69,3,flying,6,4.703453848
70,3,over,4,6.121067135
71,3,the,3,7.468477762
72,3,huge,4,4.684179298
73,3,puddles,7,2.904617999
74,3,that,4,7.148972369
75,3,were,4,6.220255601
76,3,like,4,6.601353593
77,3,lakes,5,3.317140007
78,3,nor,3,4.555706819
79,3,the,3,7.468477762
80,3,marvelous,9,4.119203415
81,3,fathomless,10,1.5
82,3,sky,3,4.650910368
83,3,into,4,5.926059428
84,3,which,5,5.678154716
85,3,it,2,7.27578186
86,3,seemed,6,4.734000228
87,3,one,3,6.486861564
88,3,would,5,6.246862496
89,3,have,4,6.789085934
90,3,gone,4,5.471845261
91,3,away,4,5.863275096
92,3,so,2,6.627197752
93,3,joyfully,8,2.291834142
94,3,presented,9,3.763125853
95,3,anything,8,5.957143028
96,3,new,3,5.85902525
97,3,or,2,6.231208606
98,3,interesting,11,4.93745288
99,3,to,2,7.355006441
100,3,marya,5,1.5
101,3,vassilyevna,11,1.5
102,3,who,3,6.34633612
103,3,was,3,6.751817351
104,3,sitting,7,4.974430434
105,3,in,2,6.989451386
106,3,the,3,7.468477762
107,3,cart,4,3.956476118
108,4,for,3,6.837945999
109,4,thirteen,8,3.721586422
110,4,years,5,5.754292039
111,4,she,3,6.571450902
112,4,had,3,6.22366309
113,4,been,4,6.2391404
114,4,schoolmistress,14,1.893894133
115,4,and,3,7.126115569
116,4,there,5,6.637707563
117,4,was,3,6.751817351
118,4,no,2,6.775492746
119,4,reckoning,9,3.040022169
120,4,how,3,6.484591105
121,4,many,4,5.555043991
122,4,times,5,5.341904407
123,4,during,6,4.879881639
124,4,all,3,6.71221242
125,4,those,5,5.876221912
126,4,years,5,5.754292039
127,4,she,3,6.571450902
128,4,had,3,6.22366309
129,4,been,4,6.2391404
130,4,to,2,7.355006441
131,4,the,3,7.468477762
132,4,town,4,5.393752976
133,4,for,3,6.837945999
134,4,her,3,6.452086523
135,4,salary,6,4.031406487
136,4,and,3,7.126115569
137,4,whether,7,4.826494718
138,4,it,2,7.27578186
139,4,were,4,6.220255601
140,4,spring,6,4.495410917
141,4,as,2,6.345177693
142,4,now,3,6.50491074
